province,month,year,month_of_year,hcl_emission,pcl_emission
甘肃省,4,1962,5,2087710259.562943,1197838979.2911565
福建省,4,1962,5,367678752.17779064,158313988.55560753
西藏自治区,4,1962,5,2408709341.361141,5013601467.818218
贵州省,4,1962,5,998614602.720785,404247063.47584236
辽宁省,4,1962,5,1433518269.653514,1074558595.0754483
重庆市,4,1962,5,454154889.3678209,323136803.0481234
陕西省,4,1962,5,1254625898.1545167,855760973.7893431
青海省,4,1962,5,587249628.5629508,378190374.584202
香港特别行政区,4,1962,5,365187.7417127352,54927.698439173735
黑龙江省,4,1962,5,7982317931.099603,17409049872.526352
上海市,5,1962,6,14108349.640112229,3789351.9963406115
云南省,5,1962,6,1921133619.7847826,871524865.5533553
内蒙古自治区,5,1962,6,8784244267.95398,7785793489.794521
北京市,5,1962,6,40021760.74256746,25738308.073702153
吉林省,5,1962,6,1511910968.136793,1402466736.40369
四川省,5,1962,6,6716259880.111567,4500328204.338991
天津市,5,1962,6,24954636.75813285,20725778.031340137
宁夏回族自治区,5,1962,6,98000092.08017029,27966121.18813522
安徽省,5,1962,6,2048456585.8928814,3336279308.9645324
山东省,5,1962,6,3257266341.293682,3729867783.923984
山西省,5,1962,6,1067722942.2940271,435763055.43822646
广东省,5,1962,6,1470110803.6868334,796982791.9574054
广西壮族自治区,5,1962,6,1352045335.89343,1194569384.4933727
新疆维吾尔自治区,5,1962,6,8759919351.3853,10599859338.492285
江苏省,5,1962,6,1697870061.3297768,3155221869.304208
江西省,5,1962,6,865273637.4681135,528007721.69960874
河北省,5,1962,6,3336396095.432311,2651422096.6761165
河南省,5,1962,6,2800989040.314591,3062214179.525758
浙江省,5,1962,6,689424196.1613516,549746518.978424
海南省,5,1962,6,65573678.50990274,126701056.41754122
湖北省,5,1962,6,1975176222.5525045,1897535192.7760246
湖南省,5,1962,6,1896765095.519348,972417914.3088316
甘肃省,5,1962,6,2083454272.844303,1190053047.405388
福建省,5,1962,6,365443932.7521721,136856181.47906715
西藏自治区,5,1962,6,2308896864.3466163,4360536362.85543
贵州省,5,1962,6,1007797001.0336014,395171963.4104556
辽宁省,5,1962,6,1445757122.5502534,1089106110.903842
重庆市,5,1962,6,458405366.8948485,335426839.9879632
陕西省,5,1962,6,1325027200.8568451,1347418933.0488513
青海省,5,1962,6,570503446.9081056,348264622.08951646
香港特别行政区,5,1962,6,366072.5096638014,55745.61862866662
黑龙江省,5,1962,6,5713665846.62337,6712778917.023133
上海市,6,1962,7,14437216.65420961,6160931.631010907
云南省,6,1962,7,1893448255.2633996,807640867.727493
内蒙古自治区,6,1962,7,8072631845.763895,5679915948.629585
北京市,6,1962,7,39113037.12448614,21503284.605433937
吉林省,6,1962,7,1495277616.7794504,1357901492.3964756
